country,city,business_slice,kpi,month,monthly_value,daily_sum_in_month,weekly_sum_full_iso,weekly_sum_intersect,weekly_max,daily_max,expected_rule,comparable_across_grains,validation_basis,status,issue_note
colombia,cali,Auto regular,avg_ticket,2026-04-01,12911.209759836483,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,cali,Auto regular,active_drivers,2026-04-01,1501.0,13870.0,15280.0,5105.0,5105.0,806.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,cali,Auto regular,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,cali,Auto regular,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,cali,Auto regular,trips_per_driver,2026-04-01,83.44303797468355,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,cali,Taxi Moto,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,cali,Taxi Moto,trips_completed,2026-04-01,54366.0,54366.0,60302.0,55462.57142857143,21467.0,3586.0,exact_sum,True,daily_in_month,ok,
colombia,cali,Taxi Moto,avg_ticket,2026-04-01,6729.810911231284,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,cali,Taxi Moto,active_drivers,2026-04-01,905.0,6855.0,7619.0,2687.0,2687.0,431.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,cali,Taxi Moto,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,cali,Taxi Moto,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,cali,Taxi Moto,trips_per_driver,2026-04-01,60.07292817679558,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
